K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,262144,3.056,0.000,0.452,0.000,3.509
26,262144,6.143,0.000,0.774,0.000,6.916
27,262144,13.919,0.000,1.612,0.000,15.530
28,262144,27.733,0.000,3.357,0.000,31.090
29,262144,63.804,0.000,1.512,0.000,65.316
30,262144,130.579,0.000,0.187,0.000,130.766
31,262144,255.063,0.000,0.001,0.000,255.064
32,262144,552.461,0.000,0.001,0.000,552.461
33,262144,1573.408,0.000,0.001,0.000,1573.408
34,262144,1959.800,3269.838,0.205,0.000,5229.843
35,262144,4392.520,6144.408,0.001,0.000,10536.929
