timestamp,power_reading,program_status
Sun Jan 26 21:08:01 2025,643,
Sun Jan 26 21:08:06 2025,735,
Sun Jan 26 21:08:11 2025,661,
Sun Jan 26 21:08:16 2025,724,
Sun Jan 26 21:08:21 2025,680,
Sun Jan 26 21:08:26 2025,713,
Sun Jan 26 21:08:31 2025,689,
Sun Jan 26 21:08:36 2025,668,
Sun Jan 26 21:08:41 2025,661,
Sun Jan 26 21:08:46 2025,704,
Sun Jan 26 21:08:51 2025,639,
Sun Jan 26 21:08:56 2025,683,
Sun Jan 26 21:09:02 2025,662,
Sun Jan 26 21:09:07 2025,654,
Sun Jan 26 21:09:12 2025,659,
Sun Jan 26 21:09:17 2025,684,
Sun Jan 26 21:09:22 2025,948,
2025-01-26 21:09:22,
Sun Jan 26 21:09:27 2025,990,
Sun Jan 26 21:09:32 2025,990,
Sun Jan 26 21:09:37 2025,991,
Sun Jan 26 21:09:42 2025,994,
Sun Jan 26 21:09:47 2025,995,
Sun Jan 26 21:09:52 2025,994,
Sun Jan 26 21:09:57 2025,990,
Sun Jan 26 21:10:03 2025,997,
Sun Jan 26 21:10:08 2025,993,
Sun Jan 26 21:10:13 2025,993,
Sun Jan 26 21:10:18 2025,996,
Sun Jan 26 21:10:23 2025,993,
Sun Jan 26 21:10:28 2025,1002,
Sun Jan 26 21:10:33 2025,1004,
Sun Jan 26 21:10:38 2025,998,
Sun Jan 26 21:10:43 2025,1000,
Sun Jan 26 21:10:48 2025,983,
Sun Jan 26 21:10:53 2025,986,
Sun Jan 26 21:10:59 2025,982,
Sun Jan 26 21:11:04 2025,987,
Sun Jan 26 21:11:09 2025,988,
Sun Jan 26 21:11:14 2025,986,
Sun Jan 26 21:11:19 2025,987,
Sun Jan 26 21:11:24 2025,984,
Sun Jan 26 21:11:29 2025,984,
Sun Jan 26 21:11:34 2025,988,
Sun Jan 26 21:11:39 2025,989,
Sun Jan 26 21:11:44 2025,987,
Sun Jan 26 21:11:50 2025,989,
Sun Jan 26 21:11:55 2025,989,
Sun Jan 26 21:12:00 2025,986,
