Threads,Buffer,Buckets,Stripe,Temp_Dir,Plot_Dir,Phase_1_Time,Phase_2_Time,Phase_3_Time,Phase_4_Time,Total_Time
1,512,16,1024,/data-l/varvara/tmp,/data-l/varvara/plot,,,,,
1,512,16,2048,/data-l/varvara/tmp,/data-l/varvara/plot,600.377,92.473,312.584,16.465,1021.901
1,512,16,4096,/data-l/varvara/tmp,/data-l/varvara/plot,566.608,92.140,313.260,16.456,988.465
1,512,16,8192,/data-l/varvara/tmp,/data-l/varvara/plot,511.041,93.621,312.574,16.546,933.784
1,512,16,16384,/data-l/varvara/tmp,/data-l/varvara/plot,536.000,92.015,312.295,16.432,956.744
1,512,16,65536,/data-l/varvara/tmp,/data-l/varvara/plot,537.250,91.889,310.322,16.553,956.015
1,512,16,131072,/data-l/varvara/tmp,/data-l/varvara/plot,538.635,92.643,311.947,16.484,959.710
1,512,16,262144,/data-l/varvara/tmp,/data-l/varvara/plot,535.844,92.174,310.987,16.620,955.627
1,512,32,1024,/data-l/varvara/tmp,/data-l/varvara/plot,,,,,
1,512,32,2048,/data-l/varvara/tmp,/data-l/varvara/plot,547.822,92.200,250.224,15.279,905.526
1,512,32,4096,/data-l/varvara/tmp,/data-l/varvara/plot,520.883,92.289,251.879,15.759,880.812
1,512,32,8192,/data-l/varvara/tmp,/data-l/varvara/plot,496.711,92.333,251.887,15.434,856.367
1,512,32,16384,/data-l/varvara/tmp,/data-l/varvara/plot,499.007,94.598,257.150,16.109,866.865
1,512,32,65536,/data-l/varvara/tmp,/data-l/varvara/plot,486.016,94.126,255.340,15.483,850.967
1,512,32,131072,/data-l/varvara/tmp,/data-l/varvara/plot,486.158,92.310,251.636,15.602,845.708
1,512,32,262144,/data-l/varvara/tmp,/data-l/varvara/plot,483.373,92.547,250.560,15.603,842.084
1,512,64,1024,/data-l/varvara/tmp,/data-l/varvara/plot,,,,,
1,512,64,2048,/data-l/varvara/tmp,/data-l/varvara/plot,559.627,93.547,244.770,15.042,912.987
1,512,64,4096,/data-l/varvara/tmp,/data-l/varvara/plot,515.236,92.817,244.220,14.362,866.638
1,512,64,8192,/data-l/varvara/tmp,/data-l/varvara/plot,492.339,92.827,243.483,14.347,842.998
1,512,64,16384,/data-l/varvara/tmp,/data-l/varvara/plot,487.342,92.824,243.629,14.666,838.462
