Threads,Buffer,Buckets,Stripe,Temp_Dir,Plot_Dir,Phase_1_Time,Phase_2_Time,Phase_3_Time,Phase_4_Time,Total_Time
,512,16,16384,/data-l/varvara/tmp,/data-l/varvara/plot,299.888,94.982,311.789,16.529,723.190
,512,16,65536,/data-l/varvara/tmp,/data-l/varvara/plot,252.771,93.915,386.454,16.279,749.421
,512,16,131072,/data-l/varvara/tmp,/data-l/varvara/plot,,,,,
,512,16,262144,/data-l/varvara/tmp,/data-l/varvara/plot,,,,,
,512,32,16384,/data-l/varvara/tmp,/data-l/varvara/plot,279.325,94.321,252.321,15.595,641.563
,512,32,65536,/data-l/varvara/tmp,/data-l/varvara/plot,222.768,95.856,255.624,15.450,589.700
,512,32,131072,/data-l/varvara/tmp,/data-l/varvara/plot,252.855,96.070,449.615,26.457,824.998
,512,32,262144,/data-l/varvara/tmp,/data-l/varvara/plot,,,,,
,512,64,16384,/data-l/varvara/tmp,/data-l/varvara/plot,288.853,94.877,245.055,14.419,643.205
,512,64,65536,/data-l/varvara/tmp,/data-l/varvara/plot,268.031,94.425,246.306,15.127,623.891
,512,64,131072,/data-l/varvara/tmp,/data-l/varvara/plot,255.119,93.858,287.783,15.040,651.802
,512,64,262144,/data-l/varvara/tmp,/data-l/varvara/plot,,,,,
,512,128,16384,/data-l/varvara/tmp,/data-l/varvara/plot,274.383,95.371,237.236,13.121,620.112
,512,128,65536,/data-l/varvara/tmp,/data-l/varvara/plot,260.181,94.493,236.567,12.985,604.228
,512,128,131072,/data-l/varvara/tmp,/data-l/varvara/plot,240.272,94.932,237.747,14.461,587.415
,512,128,262144,/data-l/varvara/tmp,/data-l/varvara/plot,,,,,
,1024,16,16384,/data-l/varvara/tmp,/data-l/varvara/plot,280.398,93.584,263.306,16.428,653.718
,1024,16,65536,/data-l/varvara/tmp,/data-l/varvara/plot,236.803,93.497,261.735,16.278,608.315
,1024,16,131072,/data-l/varvara/tmp,/data-l/varvara/plot,212.993,93.375,262.512,16.437,585.320
,1024,16,262144,/data-l/varvara/tmp,/data-l/varvara/plot,255.526,93.423,468.558,33.735,851.245
,1024,32,16384,/data-l/varvara/tmp,/data-l/varvara/plot,278.810,94.705,251.761,15.318,640.596
,1024,32,65536,/data-l/varvara/tmp,/data-l/varvara/plot,234.276,95.890,256.631,15.734,602.532
,1024,32,131072,/data-l/varvara/tmp,/data-l/varvara/plot,224.795,92.425,255.822,15.553,588.596
,1024,32,262144,/data-l/varvara/tmp,/data-l/varvara/plot,226.552,93.069,295.192,15.391,630.205
,1024,64,16384,/data-l/varvara/tmp,/data-l/varvara/plot,303.081,94.716,244.667,15.064,657.529
,1024,64,65536,/data-l/varvara/tmp,/data-l/varvara/plot,255.249,93.968,244.540,15.183,608.942
,1024,64,131072,/data-l/varvara/tmp,/data-l/varvara/plot,231.562,93.246,244.298,14.678,583.786
,1024,64,262144,/data-l/varvara/tmp,/data-l/varvara/plot,235.384,92.919,244.942,14.928,588.175
,1024,128,16384,/data-l/varvara/tmp,/data-l/varvara/plot,297.646,96.095,237.589,12.987,644.320
,1024,128,65536,/data-l/varvara/tmp,/data-l/varvara/plot,261.268,94.899,237.948,14.065,608.181
,1024,128,131072,/data-l/varvara/tmp,/data-l/varvara/plot,251.890,94.149,237.404,14.345,597.790
,1024,128,262144,/data-l/varvara/tmp,/data-l/varvara/plot,271.083,94.321,238.028,14.457,617.891
,2048,16,16384,/data-l/varvara/tmp,/data-l/varvara/plot,276.760,95.766,267.725,16.580,656.833
,2048,16,65536,/data-l/varvara/tmp,/data-l/varvara/plot,242.328,94.528,262.297,16.237,615.391
,2048,16,131072,/data-l/varvara/tmp,/data-l/varvara/plot,226.394,93.432,261.709,16.492,598.029
,2048,16,262144,/data-l/varvara/tmp,/data-l/varvara/plot,218.058,93.105,262.877,16.388,590.430
,2048,32,16384,/data-l/varvara/tmp,/data-l/varvara/plot,295.034,94.191,251.502,15.567,656.296
,2048,32,65536,/data-l/varvara/tmp,/data-l/varvara/plot,231.420,90.884,252.036,15.622,589.964
,2048,32,131072,/data-l/varvara/tmp,/data-l/varvara/plot,214.049,93.357,251.424,15.391,574.223
,2048,32,262144,/data-l/varvara/tmp,/data-l/varvara/plot,216.604,92.979,251.649,15.605,576.838
,2048,64,16384,/data-l/varvara/tmp,/data-l/varvara/plot,293.338,94.916,244.948,15.084,648.288
,2048,64,65536,/data-l/varvara/tmp,/data-l/varvara/plot,258.988,94.663,244.544,14.489,612.685
,2048,64,131072,/data-l/varvara/tmp,/data-l/varvara/plot,230.272,93.644,244.830,14.889,583.637
,2048,64,262144,/data-l/varvara/tmp,/data-l/varvara/plot,229.946,92.869,244.147,14.363,581.327
,2048,128,16384,/data-l/varvara/tmp,/data-l/varvara/plot,287.548,97.656,241.585,14.857,641.648
,2048,128,65536,/data-l/varvara/tmp,/data-l/varvara/plot,256.285,94.000,236.125,12.978,599.391
,2048,128,131072,/data-l/varvara/tmp,/data-l/varvara/plot,241.493,93.543,236.800,13.139,584.977
,2048,128,262144,/data-l/varvara/tmp,/data-l/varvara/plot,264.252,92.926,237.085,13.042,607.307
,4096,16,16384,/data-l/varvara/tmp,/data-l/varvara/plot,290.348,94.158,262.372,16.204,663.084
,4096,16,65536,/data-l/varvara/tmp,/data-l/varvara/plot,241.160,94.784,263.101,16.397,615.443
,4096,16,131072,/data-l/varvara/tmp,/data-l/varvara/plot,218.193,95.417,266.586,16.948,597.145
,4096,16,262144,/data-l/varvara/tmp,/data-l/varvara/plot,233.399,95.117,266.338,17.075,611.931
,4096,32,16384,/data-l/varvara/tmp,/data-l/varvara/plot,291.262,96.337,256.803,16.065,660.468
,4096,32,65536,/data-l/varvara/tmp,/data-l/varvara/plot,228.230,95.461,255.974,16.052,595.719
,4096,32,131072,/data-l/varvara/tmp,/data-l/varvara/plot,217.861,94.122,253.427,15.621,581.033
,4096,32,262144,/data-l/varvara/tmp,/data-l/varvara/plot,212.192,92.324,251.570,15.505,571.593
,4096,64,16384,/data-l/varvara/tmp,/data-l/varvara/plot,304.423,94.560,244.386,14.337,657.708
,4096,64,65536,/data-l/varvara/tmp,/data-l/varvara/plot,257.646,94.199,245.957,15.032,612.837
,4096,64,131072,/data-l/varvara/tmp,/data-l/varvara/plot,229.437,95.011,248.079,14.584,587.113
,4096,64,262144,/data-l/varvara/tmp,/data-l/varvara/plot,234.287,94.950,247.943,14.549,591.730
,4096,128,16384,/data-l/varvara/tmp,/data-l/varvara/plot,275.510,97.539,241.953,13.425,628.429
,4096,128,65536,/data-l/varvara/tmp,/data-l/varvara/plot,259.262,96.593,240.557,13.081,609.495
,4096,128,131072,/data-l/varvara/tmp,/data-l/varvara/plot,243.484,95.675,240.550,13.102,592.813
,4096,128,262144,/data-l/varvara/tmp,/data-l/varvara/plot,275.298,94.548,237.990,14.379,622.217
