Threads,Buffer,Buckets,Stripe,Temp_Dir,Plot_Dir,Phase_1_Time,Phase_2_Time,Phase_3_Time,Phase_4_Time,Total_Time
1,512,16,32768,/data-l/varvara/tmp,/data-l/varvara/plot,541.048,92.019,311.978,16.756,961.803
1,512,32,32768,/data-l/varvara/tmp,/data-l/varvara/plot,485.649,92.018,250.768,15.285,843.721
1,512,64,32768,/data-l/varvara/tmp,/data-l/varvara/plot,505.429,92.919,244.569,14.981,857.900
1,512,128,32768,/data-l/varvara/tmp,/data-l/varvara/plot,479.457,93.870,237.397,12.989,823.713
1,1024,16,32768,/data-l/varvara/tmp,/data-l/varvara/plot,503.356,93.987,265.938,16.578,879.860
1,1024,32,32768,/data-l/varvara/tmp,/data-l/varvara/plot,489.547,94.131,255.801,15.419,854.899
1,1024,64,32768,/data-l/varvara/tmp,/data-l/varvara/plot,486.219,94.596,249.648,15.452,845.917
1,1024,128,32768,/data-l/varvara/tmp,/data-l/varvara/plot,487.212,96.021,241.042,14.865,839.142
1,2048,16,32768,/data-l/varvara/tmp,/data-l/varvara/plot,507.353,94.459,265.663,16.738,884.215
1,2048,32,32768,/data-l/varvara/tmp,/data-l/varvara/plot,482.640,94.147,254.449,15.452,846.690
1,2048,64,32768,/data-l/varvara/tmp,/data-l/varvara/plot,493.704,94.678,248.762,15.446,852.593
1,2048,128,32768,/data-l/varvara/tmp,/data-l/varvara/plot,483.256,95.600,241.073,14.730,834.661
1,4096,16,32768,/data-l/varvara/tmp,/data-l/varvara/plot,488.642,93.123,262.434,16.501,860.702
1,4096,32,32768,/data-l/varvara/tmp,/data-l/varvara/plot,484.822,92.910,251.718,15.290,844.742
1,4096,64,32768,/data-l/varvara/tmp,/data-l/varvara/plot,484.106,93.301,244.660,14.706,836.775
1,4096,128,32768,/data-l/varvara/tmp,/data-l/varvara/plot,482.633,94.261,237.211,13.740,827.847
1,8192,16,32768,/data-l/varvara/tmp,/data-l/varvara/plot,496.869,92.983,261.745,16.565,868.164
1,8192,32,32768,/data-l/varvara/tmp,/data-l/varvara/plot,491.561,92.083,250.098,15.595,849.339
1,8192,64,32768,/data-l/varvara/tmp,/data-l/varvara/plot,481.413,92.832,243.909,14.471,832.627
1,8192,128,32768,/data-l/varvara/tmp,/data-l/varvara/plot,480.052,93.823,237.581,13.054,824.511
1,16384,16,32768,/data-l/varvara/tmp,/data-l/varvara/plot,496.092,94.488,267.664,16.868,875.114
1,16384,32,32768,/data-l/varvara/tmp,/data-l/varvara/plot,494.238,94.907,256.702,16.235,862.085
1,16384,64,32768,/data-l/varvara/tmp,/data-l/varvara/plot,481.129,94.707,247.618,14.696,838.152
1,16384,128,32768,/data-l/varvara/tmp,/data-l/varvara/plot,486.575,95.671,240.088,14.665,837.001
1,32768,16,32768,/data-l/varvara/tmp,/data-l/varvara/plot,485.324,93.127,262.800,16.360,857.613
1,32768,32,32768,/data-l/varvara/tmp,/data-l/varvara/plot,487.579,92.668,252.099,15.777,848.125
1,32768,64,32768,/data-l/varvara/tmp,/data-l/varvara/plot,482.748,94.431,244.274,14.938,836.394
