Looking_Up_Qualities(ms),Finding_Proof(ms),Total_Time(ms)
59,13,72
0,7,7
3,9,12
0,9,9
0,9,9
3,7,10
0,7,7
2,7,9
1,6,7
5,10,15
0,9,9
4,10,14
0,10,10
2,6,8
0,6,6
1,7,8
0,6,6
6,11,17
1,7,8
3,9,12
3,12,15
0,9,9
1,7,8
5,10,15
0,9,9
4,9,13
0,9,9
2,7,9
1,7,8
1,5,6
0,5,5
1,6,7
5,10,15
0,10,10
3,7,10
5,10,15
4,9,13
4,8,12
2,7,9
0,7,7
0,6,6
5,9,14
0,10,10
0,10,10
0,11,11
2,7,9
0,7,7
4,8,12
3,8,11
3,8,11
2,8,10
0,6,6
2,13,15
0,6,6
5,9,14
6,10,16
0,10,10
1,6,7
0,6,6
1,7,8
4,8,12
3,8,11
2,6,8
4,8,12
6,10,16
0,11,11
0,5,5
1,6,7
4,8,12
0,8,8
1,5,6
6,10,16
4,10,14
4,10,14
0,10,10
3,9,12
5,10,15
3,7,10
0,7,7
4,9,13
0,8,8
0,8,8
0,9,9
2,7,9
0,5,5
0,5,5
0,5,5
0,5,5
5,11,16
0,10,10
