K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,262144,4.659,0.000,7.970,0.000,12.629
26,262144,7.863,0.000,15.825,0.000,23.689
27,262144,16.922,0.000,32.425,0.000,49.347
28,262144,33.748,0.000,67.471,0.000,101.219
29,262144,62.250,0.000,123.582,0.000,185.831
30,262144,163.752,0.000,178.514,0.000,342.266
31,262144,558.035,0.000,121.904,0.000,679.939
32,262144,1344.066,0.000,24.470,0.000,1368.536
33,262144,2588.970,0.007,0.000,0.000,2588.978
34,262144,5080.604,8481.849,327.853,0.000,13890.306
35,262144,9743.323,15485.446,277.740,0.000,25506.508

K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,262144,3.858,0.000,3.963,0.000,7.821
26,262144,8.502,0.000,8.032,0.000,16.534
27,262144,17.740,0.000,15.990,0.000,33.731
28,262144,36.693,0.000,33.817,0.000,70.510
29,262144,73.432,0.000,51.585,0.000,125.016
30,262144,156.728,0.000,51.373,0.000,208.101
-t 8 -o 8 -i 8 

K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,262144,3.466,0.000,4.271,0.000,7.737
26,262144,6.690,0.000,8.513,0.000,15.204
27,262144,13.327,0.000,17.516,0.000,30.843
28,262144,32.120,0.000,36.658,0.000,68.777
29,262144,60.651,0.000,76.117,0.000,136.768
30,262144,118.940,0.000,107.685,0.000,226.625
31,262144,242.569,0.000,178.727,0.000,421.296
32,262144,660.920,0.000,135.360,0.000,796.281
33,262144,1823.408,0.034,0.000,0.000,1823.441
34,262144,3126.399,5676.188,119.968,0.000,8922.555

-t 8 -o 64 -i 1
