Hash_threads,Sort_threads,IO_threads,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
2,64,1,262144,795.004,0.000,130.549,0.000,925.554
4,64,1,262144,667.355,0.000,126.830,0.000,794.185
8,64,1,262144,645.170,0.000,125.361,0.000,770.531
16,64,1,262144,649.544,0.000,128.700,0.000,778.244
32,64,1,262144,695.523,0.000,120.209,0.000,815.732
64,64,1,262144,714.100,0.000,122.432,0.000,836.532
8,1,1,262144,2229.404,0.000,0.002,0.000,2229.407
8,2,1,262144,1317.054,0.000,0.000,0.000,1317.054
8,4,1,262144,949.814,0.000,0.000,0.000,949.814
8,8,1,262144,674.913,0.000,80.172,0.000,755.085
8,16,1,262144,634.621,0.000,127.503,0.000,762.124
8,32,1,262144,622.160,0.000,131.925,0.000,754.084
8,64,1,262144,649.357,0.000,125.477,0.000,774.834
8,64,1,262144,643.353,0.000,128.715,0.000,772.068
8,64,2,262144,650.495,0.000,119.287,0.000,769.782
8,64,4,262144,642.310,0.000,127.194,0.000,769.505
8,64,8,262144,638.336,0.000,128.997,0.000,767.332
8,64,16,262144,646.273,0.000,128.775,0.000,775.048
8,64,32,262144,644.911,0.000,126.947,0.000,771.858
8,64,64,262144,641.209,0.000,126.479,0.000,767.688
8,64,1,512,
8,64,1,1024,515.141,488.552,314.288,0.000,1317.980
8,64,1,2048,412.461,537.531,294.381,0.000,1244.373
8,64,1,4096,389.814,628.835,262.450,0.000,1281.100
8,64,1,8192,361.122,559.459,243.629,0.000,1164.211
8,64,1,16384,376.157,446.724,235.212,0.000,1058.094
8,64,1,32768,408.266,522.346,209.267,0.000,1139.879
8,64,1,65536,475.808,481.654,238.277,0.000,1195.739
8,64,1,131072,645.138,0.000,126.479,0.000,771.617
8,64,1,262144,650.287,0.000,122.541,0.000,772.828
