K,Hash_Size,Average_Lookup_Time_ms
25,3,4.81
25,4,3.85
25,5,3.71
25,6,2.84
25,7,4.04
25,8,2.87
25,16,3.61
25,32,3.58
26,3,5.35
26,4,4.78
26,5,5.01 
26,6,5.27
26,7,5.99
26,8,4.33
26,16,4.70
26,32,4.77
27,3,6.07
27,4,5.60
27,5,5.83
27,6,5.25
27,7,6.12
27,8,5.61
27,16,5.92
27,32,5.64
28,3,6.80
28,4,7.75
28,5,6.39
28,6,7.44
28,7,6.61
28,8,7.44
28,16,7.83
28,32,7.01
29,3,11.43
29,4,11.09
29,5,11.95
29,6,10.67
29,7,10.77
29,8,10.27
29,16,11.11
29,32,11.26
30,3,10.30
30,4,11.16
30,5,11.75
30,6,12.13
30,7,12.12
30,8,11.93
30,16,9.64
30,32,10.90
31,3,12.72
31,4,11.68
31,5,12.29
31,6,11.82
31,7,9.59
31,8,12.38
31,16,12.45
31,32,11.93
32,3,12.61
32,4,11.99
32,5,13.08
32,6,13.25
32,7,12.79
32,8,12.01
32,16,13.30
32,32,12.74
33,3,11.47
33,4,11.27
33,5,11.12
33,6,12.24
33,7,11.81
33,8,11.42
33,16,12.23
33,32,11.59
34,3,13.17
34,4,13.69
34,5,13.84
34,6,12.42
34,7,13.91
34,8,12.71
34,16,13.11
34,32,12.50
35,3,16.81
35,4,16.86
35,5,15.73
35,6,16.60
35,7,16.61
35,8,16.53
35,16,15.70
35,32,17.07
