Threads,Buffer,Buckets,Stripe,Temp_Dir,Plot_Dir,Phase_1_Time,Phase_2_Time,Phase_3_Time,Phase_4_Time,Total_Time
2,1024,64,32768,/data-fast/varvara/tmp,/data-fast/varvara/plot,621.908,241.298,418.176,30.544,1311.928
2,1024,64,65536,/data-fast/varvara/tmp,/data-fast/varvara/plot,610.783,244.379,416.979,31.215,1303.358
2,1024,64,131072,/data-fast/varvara/tmp,/data-fast/varvara/plot,605.714,243.768,415.873,30.531,1295.888
2,1024,64,262144,/data-fast/varvara/tmp,/data-fast/varvara/plot,651.194,244.014,416.545,30.712,1342.468
2,1024,128,32768,/data-fast/varvara/tmp,/data-fast/varvara/plot,626.644,240.835,415.668,29.680,1312.829
2,1024,128,65536,/data-fast/varvara/tmp,/data-fast/varvara/plot,617.183,246.677,411.765,29.609,1305.236
2,1024,128,131072,/data-fast/varvara/tmp,/data-fast/varvara/plot,644.729,240.651,412.223,29.644,1327.249
2,1024,128,262144,/data-fast/varvara/tmp,/data-fast/varvara/plot,603.345,240.633,414.054,30.010,1288.045
2,2048,64,32768,/data-fast/varvara/tmp,/data-fast/varvara/plot,619.905,243.322,416.650,31.123,1311.002
2,2048,64,65536,/data-fast/varvara/tmp,/data-fast/varvara/plot,614.301,242.739,417.461,31.144,1305.647
2,2048,64,131072,/data-fast/varvara/tmp,/data-fast/varvara/plot,602.857,244.629,417.158,30.807,1295.453
2,2048,64,262144,/data-fast/varvara/tmp,/data-fast/varvara/plot,645.590,245.074,417.120,31.028,1338.814
2,2048,128,32768,/data-fast/varvara/tmp,/data-fast/varvara/plot,622.874,234.711,412.353,29.527,1299.467
2,2048,128,65536,/data-fast/varvara/tmp,/data-fast/varvara/plot,617.658,234.458,411.653,29.883,1293.654
2,2048,128,131072,/data-fast/varvara/tmp,/data-fast/varvara/plot,636.545,246.762,411.255,29.693,1324.258
2,2048,128,262144,/data-fast/varvara/tmp,/data-fast/varvara/plot,632.208,240.123,411.799,29.842,1313.974
2,4096,64,32768,/data-fast/varvara/tmp,/data-fast/varvara/plot,621.755,240.773,417.982,30.587,1311.100
2,4096,64,65536,/data-fast/varvara/tmp,/data-fast/varvara/plot,612.657,244.808,416.270,30.598,1304.335
2,4096,64,131072,/data-fast/varvara/tmp,/data-fast/varvara/plot,609.316,245.048,417.891,30.426,1302.683
2,4096,64,262144,/data-fast/varvara/tmp,/data-fast/varvara/plot,607.376,241.319,418.048,30.925,1297.670
2,4096,128,32768,/data-fast/varvara/tmp,/data-fast/varvara/plot,623.954,241.714,411.775,29.597,1307.043
2,4096,128,65536,/data-fast/varvara/tmp,/data-fast/varvara/plot,605.928,246.809,411.205,29.858,1293.801
2,4096,128,131072,/data-fast/varvara/tmp,/data-fast/varvara/plot,627.996,243.671,412.717,29.868,1314.254
2,4096,128,262144,/data-fast/varvara/tmp,/data-fast/varvara/plot,714.479,240.066,412.780,29.715,1397.042
2,8192,64,32768,/data-fast/varvara/tmp,/data-fast/varvara/plot,616.449,249.052,417.490,30.427,1313.420
2,8192,64,65536,/data-fast/varvara/tmp,/data-fast/varvara/plot,612.641,244.536,417.384,31.064,1305.627
2,8192,64,131072,/data-fast/varvara/tmp,/data-fast/varvara/plot,612.651,245.276,417.006,30.549,1305.484
2,8192,64,262144,/data-fast/varvara/tmp,/data-fast/varvara/plot,603.430,244.978,417.261,30.521,1296.192
2,8192,128,32768,/data-fast/varvara/tmp,/data-fast/varvara/plot,617.934,243.314,411.118,29.407,1301.775
