Hash_threads,Sort_threads,IO_threads,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
2,8,8,16384,753.674,670.862,1.478,0.000,1426.013
4,8,8,16384,693.356,686.848,1.801,0.000,1382.005
8,8,8,16384,637.954,728.234,1.229,0.000,1367.417
8,1,8,16384,620.305,2098.517,0.371,0.000,2719.193
8,2,8,16384,631.731,1134.302,0.722,0.000,1766.755
8,4,8,16384,604.550,741.159,2.218,0.000,1347.927
8,8,8,16384,610.484,714.393,3.544,0.000,1328.421
8,8,1,16384,594.743,742.552,1.566,0.000,1338.861
8,8,2,16384,604.901,703.027,0.797,0.000,1308.725
8,8,4,16384,605.585,739.458,1.924,0.000,1346.967
8,8,8,16384,602.028,716.581,0.781,0.000,1319.390
8,8,8,512,537.043,722.781,1.030,0.000,1260.854
8,8,8,1024,558.755,729.964,2.419,0.000,1291.138
8,8,8,2048,629.374,675.095,3.274,0.000,1307.743
8,8,8,4096,686.888,697.201,2.728,0.000,1386.817
8,8,8,8192,639.433,742.964,4.169,0.000,1386.566
8,8,8,16384,628.175,733.573,2.833,0.000,1364.580
