Hash_threads,Sort_threads,IO_threads,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
2,8,1,16384,602.228,620.949,1.612,0.000,1224.789
4,8,1,16384,445.528,641.724,2.054,0.000,1089.307
8,8,1,16384,430.753,623.598,1.366,0.000,1055.717
8,1,1,16384,528.350,2098.958,0.723,0.000,2628.031
8,2,1,16384,572.556,1178.493,0.743,0.000,1751.792
8,4,1,16384,641.015,788.176,2.313,0.000,1431.503
8,8,1,16384,689.183,732.803,1.944,0.000,1423.930
8,8,1,16384,670.639,720.241,1.344,0.000,1392.223
8,8,2,16384,632.394,705.553,1.420,0.000,1339.367
8,8,4,16384,640.865,690.262,0.743,0.000,1331.870
8,8,8,16384,648.664,714.474,1.657,0.000,1364.795
8,8,1,512,559.037,835.491,0.525,0.000,1395.054
8,8,1,1024,648.320,832.839,1.018,0.000,1482.177
8,8,1,2048,660.113,731.790,2.847,0.000,1394.750
8,8,1,4096,683.817,743.525,1.523,0.000,1428.865
8,8,1,8192,666.757,726.723,0.901,0.000,1394.380
8,8,1,16384,670.405,735.531,1.971,0.000,1407.907
