K,Hash_Size,Average_Lookup_Time_ms
25,3,5.53
25,4,6.54
25,5,5.14
25,6,5.46
25,7,5.56
25,8,5.77
25,16,5.18
25,32,6.05
26,3,5.69
26,4,6.32
26,5,6.29
26,6,5.98
26,7,6.72
26,8,6.43
26,16,6.23
26,32,6.14
27,3,8.34
27,4,8.18
27,5,9.42
27,6,8.13
27,7,9.94
27,8,8.72
27,16,7.65
27,32,9.32
28,3,10.71
28,4,9.95
28,5,11.08
28,6,10.07
28,7,10.57
28,8,9.10
28,16,9.73
28,32,8.38
29,3,11.84
29,4,12.04
29,5,11.98
29,6,10.12
29,7,7.76
29,8,8.31
29,16,10.59
29,32,11.88
30,3,12.42
30,4,13.33
30,5,13.19
30,6,12.07
30,7,12.21
30,8,10.98
30,16,13.33
30,32,11.00
31,3,14.12
31,4,13.69
31,5,13.68
31,6,13.02
31,7,13.78
31,8,13.54
31,16,13.50
31,32,13.73
32,3,19.12
32,4,21.01
32,5,19.87
32,6,19.40
32,7,20.04
32,8,19.48
32,16,18.90
32,32,19.45
33,3,22.78
33,4,25.33
33,5,22.59
33,6,22.00
33,7,22.43
33,8,23.88
33,16,22.06
33,32,21.88
34,3,32.51
34,4,31.73
34,5,29.67
34,6,29.07
34,7,30.16
34,8,28.56
34,16,30.46
34,32,29.14
35,3,37.07
35,4,39.27
35,5,35.73
35,6,36.09
35,7,37.10
35,8,36.17
35,16,36.42
35,32,36.68
