K,Hash_Size,Average_Lookup_Time_ms
25,3,0.47
25,4,0.48
25,5,0.36
25,6,0.30
25,7,0.37
25,8,0.31
25,16,0.36
25,32,0.36
26,3,0.41
26,4,0.38
26,5,0.45
26,6,0.34
26,7,0.44
26,8,0.33
26,16,0.38
26,32,0.42
27,3,0.57
27,4,0.55
27,5,0.62
27,6,0.59
27,7,0.45
27,8,0.48
27,16,0.46
27,32,0.51
28,3,0.76
28,4,0.77
28,5,0.55
28,6,0.54
28,7,0.70
28,8,0.59
28,16,0.68
28,32,0.54
29,3,0.81
29,4,0.80
29,5,0.83
29,6,0.79
29,7,0.80
29,8,0.91
29,16,0.90
29,32,0.78
30,3,0.80
30,4,1.00
30,5,1.12
30,6,1.02
30,7,1.02
30,8,1.05
30,16,0.86
30,32,1.01
31,3,0.83
31,4,0.98
31,5,1.15
31,6,1.02
31,7,1.06
31,8,1.16
31,16,0.96
31,32,0.96
32,3,0.88
32,4,1.32
32,5,1.19
32,6,1.14
32,7,1.28
32,8,1.20
32,16,1.29
32,32,1.09
33,3,0.97
33,4,1.53
33,5,1.45
33,6,1.34
33,7,1.32
33,8,1.36
33,16,1.40
33,32,1.24
34,3,1.12
34,4,1.54
34,5,1.55
34,6,1.48
34,7,1.69
34,8,1.89
34,16,1.57
34,32,1.63
35,3,1.23
35,4,1.72
35,5,1.76
35,6,1.82
35,7,1.75
35,8,1.84
35,16,2.95
35,32,1.89
