K,Hash_Size,Average_Lookup_Time_ms
25,3,4.67
25,4,4.19
25,5,5.75
25,6,3.60
25,7,4.87
25,8,3.44
25,16,3.53
25,32,4.61
26,3,6.72
26,4,5.86
26,5,5.24
26,6,4.63
26,7,4.99
26,8,4.78
26,16,4.31
26,32,5.71
27,3,5.92
27,4,5.77
27,5,6.30
27,6,6.09
27,7,6.38
27,8,6.92
27,16,6.52
27,32,5.77
28,3,6.43
28,4,6.03
28,5,7.11
28,6,6.47
28,7,6.44
28,8,5.33
28,16,6.13
28,32,5.93
29,3,9.52
29,4,9.05
29,5,9.45
29,6,8.93
29,7,7.35
29,8,8.37
29,16,8.82
29,32,7.24
30,3,10.68
30,4,11.02
30,5,10.03
30,6,9.35
30,7,10.95
30,8,10.24
30,16,10.83
30,32,10.48
31,3,11.03
31,4,10.31
31,5,10.71
31,6,10.62
31,7,10.75
31,8,10.16
31,16,10.61
31,32,10.36
32,3,9.85
32,4,10.47
32,5,12.22
32,6,11.64
32,7,11.12
32,8,9.24
32,16,9.87
32,32,11.43
33,3,14.02
33,4,14.29
33,5,12.87
33,6,12.87
33,7,12.70
33,8,12.77
33,16,12.63
33,32,13.27
34,3,18.34
34,4,18.66
34,5,17.53
34,6,18.72
34,7,17.55
34,8,17.44
34,16,18.54
34,32,17.70
35,3,25.10
35,4,24.53
35,5,24.14
35,6,23.46
35,7,23.62
35,8,23.33
35,16,22.64
35,32,23.49
