K,Hash_Size,Average_Lookup_Time_ms
25,3,0.31
25,4,0.23
25,5,0.27
25,6,0.29
25,7,0.19
25,8,0.27
25,16,0.83
25,32,0.25
26,3,0.31
26,4,0.27
26,5,0.65
26,6,0.31
26,7,0.33
26,8,0.93
26,16,0.35
26,32,0.30
27,3,0.32
27,4,0.35
27,5,0.34
27,6,0.36
27,7,0.34
27,8,0.41
27,16,0.41
27,32,0.33
28,3,0.78
28,4,0.82
28,5,0.57
28,6,0.46
28,7,0.32
28,8,0.34
28,16,0.34
28,32,0.39
29,3,0.66
29,4,0.59
29,5,0.65
29,6,0.55
29,7,0.44
29,8,0.53
29,16,0.45
29,32,0.46
30,3,0.66
30,4,0.61
30,5,0.57
30,6,0.56
30,7,0.55
30,8,0.69
30,16,0.62
30,32,0.71
31,3,0.80
31,4,0.74
31,5,0.79
31,6,0.79
31,7,0.79
31,8,0.77
31,16,0.64
31,32,0.82
32,3,1.02
32,4,1.03
32,5,1.02
32,6,0.87
32,7,0.89
32,8,0.88
32,16,1.01
32,32,1.01
33,3,0.77
33,4,1.10
33,5,1.00
33,6,0.98
33,7,1.13
33,8,1.99
33,16,0.99
33,32,1.03
34,3,0.94
34,4,1.20
34,5,1.16
34,6,1.34
34,7,1.11
34,8,1.16
34,16,1.10
34,32,1.19
35,3,1.47
35,4,1.87
35,5,1.33
35,6,1.49
35,7,1.46
35,8,1.42
35,16,1.28
35,32,1.41
