k,Temp_Dir,Final_Dir,Phase_1_Time,Phase_2_Time,Phase_3_Time,Phase_4_Time,Total_Time,Final_File_Size
25,/data-fast/varvara/tmp,/data-fast/varvara/plot,130.469,30.119,78.172,4.768,243.530,
26,/data-fast/varvara/tmp,/data-fast/varvara/plot,249.350,72.787,160.700,11.443,494.282,
27,/data-fast/varvara/tmp,/data-fast/varvara/plot,494.341,156.888,325.910,23.216,1000.357,
28,/data-fast/varvara/tmp,/data-fast/varvara/plot,992.440,332.545,688.371,46.466,2059.824,
29,/data-fast/varvara/tmp,/data-fast/varvara/plot,2002.534,698.425,1411.845,97.379,4210.185,
30,/data-fast/varvara/tmp,/data-fast/varvara/plot,4355.963,1469.324,3113.634,204.363,9143.287,
31,/data-fast/varvara/tmp,/data-fast/varvara/plot,9317.354,3061.744,6494.674,419.510,19293.284,
32,/data-fast/varvara/tmp,/data-fast/varvara/plot,18536.476,6484.050,15249.874,931.352,41201.754,
33,/data-fast/varvara/tmp,/data-fast/varvara/plot,39973.465,14653.505,39740.337,1993.093,96360.403,
34,/data-fast/varvara/tmp,/data-fast/varvara/plot,,,,,,
35,/data-fast/varvara/tmp,/data-fast/varvara/plot,,,,,,
