Threads,Buffer,Buckets,Stripe,Temp_Dir,Plot_Dir,Phase_1_Time,Phase_2_Time,Phase_3_Time,Phase_4_Time,Total_Time
1,512,16,1024,/data-fast/varvara/tmp,/data-fast/varvara/plot,,,,,
1,512,16,2048,/data-fast/varvara/tmp,/data-fast/varvara/plot,801.910,156.535,387.744,23.817,1370.008
1,512,16,4096,/data-fast/varvara/tmp,/data-fast/varvara/plot,766.237,156.055,387.852,23.822,1333.968
1,512,16,8192,/data-fast/varvara/tmp,/data-fast/varvara/plot,730.853,156.439,387.115,23.706,1298.114
1,512,16,32768,/data-fast/varvara/tmp,/data-fast/varvara/plot,693.511,155.831,386.141,24.380,1259.865
1,512,16,65536,/data-fast/varvara/tmp,/data-fast/varvara/plot,699.069,158.069,387.835,23.999,1268.973
1,512,16,131072,/data-fast/varvara/tmp,/data-fast/varvara/plot,705.466,155.839,385.047,24.131,1270.484
1,512,16,262144,/data-fast/varvara/tmp,/data-fast/varvara/plot,693.620,152.774,385.586,24.017,1255.999
1,512,32,1024,/data-fast/varvara/tmp,/data-fast/varvara/plot,,,,,
1,512,32,2048,/data-fast/varvara/tmp,/data-fast/varvara/plot,782.439,156.111,331.165,23.199,1292.915
1,512,32,4096,/data-fast/varvara/tmp,/data-fast/varvara/plot,726.983,158.202,328.085,23.574,1236.845
1,512,32,8192,/data-fast/varvara/tmp,/data-fast/varvara/plot,705.699,157.776,329.088,23.706,1216.270
1,512,32,32768,/data-fast/varvara/tmp,/data-fast/varvara/plot,692.602,158.566,328.446,23.423,1203.039
1,512,32,65536,/data-fast/varvara/tmp,/data-fast/varvara/plot,686.017,155.597,324.336,23.490,1189.442
1,512,32,131072,/data-fast/varvara/tmp,/data-fast/varvara/plot,692.117,155.526,330.052,23.095,1200.792
1,512,32,262144,/data-fast/varvara/tmp,/data-fast/varvara/plot,683.452,155.992,328.245,23.122,1190.813
1,512,64,1024,/data-fast/varvara/tmp,/data-fast/varvara/plot,,,,,
1,512,64,2048,/data-fast/varvara/tmp,/data-fast/varvara/plot,778.378,156.446,327.518,23.798,1286.141
1,512,64,4096,/data-fast/varvara/tmp,/data-fast/varvara/plot,723.163,155.802,326.433,23.166,1228.567
1,512,64,8192,/data-fast/varvara/tmp,/data-fast/varvara/plot,707.142,156.699,326.048,23.304,1213.194
1,512,64,32768,/data-fast/varvara/tmp,/data-fast/varvara/plot,674.310,155.822,325.165,22.939,1178.239
1,512,64,65536,/data-fast/varvara/tmp,/data-fast/varvara/plot,679.118,156.659,325.672,22.936,1184.386
1,512,64,131072,/data-fast/varvara/tmp,/data-fast/varvara/plot,685.552,157.777,327.296,23.406,1194.032
1,512,64,262144,/data-fast/varvara/tmp,/data-fast/varvara/plot,686.485,155.995,327.477,23.389,1193.347
1,512,128,1024,/data-fast/varvara/tmp,/data-fast/varvara/plot,,,,,
1,512,128,2048,/data-fast/varvara/tmp,/data-fast/varvara/plot,763.598,156.769,322.913,22.213,1265.495
1,512,128,4096,/data-fast/varvara/tmp,/data-fast/varvara/plot,734.092,157.520,327.486,23.390,1242.490
1,512,128,8192,/data-fast/varvara/tmp,/data-fast/varvara/plot,691.270,156.402,322.399,22.123,1192.196
1,512,128,32768,/data-fast/varvara/tmp,/data-fast/varvara/plot,677.611,157.657,322.324,22.587,1180.180
1,512,128,65536,/data-fast/varvara/tmp,/data-fast/varvara/plot,681.720,157.393,325.385,22.883,1187.383
1,512,128,131072,/data-fast/varvara/tmp,/data-fast/varvara/plot,675.343,157.070,322.208,22.638,1177.261
1,512,128,262144,/data-fast/varvara/tmp,/data-fast/varvara/plot,676.650,159.109,322.530,22.419,1180.710
1,1024,16,1024,/data-fast/varvara/tmp,/data-fast/varvara/plot,,,,,
1,1024,16,2048,/data-fast/varvara/tmp,/data-fast/varvara/plot,791.050,156.198,337.322,24.002,1308.574
1,1024,16,4096,/data-fast/varvara/tmp,/data-fast/varvara/plot,731.246,155.879,338.055,24.158,1249.339
1,1024,16,8192,/data-fast/varvara/tmp,/data-fast/varvara/plot,711.963,157.597,339.867,24.012,1233.442
