Threads,Buffer,Buckets,Stripe,Temp_Dir,Plot_Dir,Phase_1_Time,Phase_2_Time,Phase_3_Time,Phase_4_Time,Total_Time
1,512,16,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,704.248,155.820,386.610,24.074,1270.753
1,512,32,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,699.775,156.637,326.971,23.494,1206.878
1,512,64,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,702.200,158.740,327.187,23.586,1211.714
1,512,128,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,685.620,156.211,323.655,22.388,1187.875
1,1024,16,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,700.916,155.887,338.842,24.165,1219.812
1,1024,32,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,685.377,155.650,327.845,24.098,1192.972
1,1024,64,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,686.165,158.567,325.467,22.970,1193.171
1,1024,128,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,691.735,156.345,327.071,22.162,1197.314
1,2048,16,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,696.352,155.597,338.747,24.028,1214.726
1,2048,32,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,703.042,157.368,327.317,22.792,1210.521
1,2048,64,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,698.996,156.151,328.096,23.747,1206.993
1,2048,128,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,693.344,156.743,324.738,23.215,1198.041
1,4096,16,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,719.549,155.414,340.302,23.886,1239.153
1,4096,32,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,690.408,156.978,326.677,23.048,1197.112
1,4096,64,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,681.886,155.975,326.934,22.769,1187.565
1,4096,128,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,694.069,159.446,323.430,23.049,1199.996
2,512,16,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,511.308,158.789,386.367,24.300,1080.765
2,512,32,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,507.843,156.453,328.577,23.111,1015.986
2,512,64,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,501.267,156.377,328.554,23.797,1009.996
2,512,128,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,493.733,156.636,323.466,23.189,997.026
2,1024,16,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,518.640,157.296,337.951,23.821,1037.709
2,1024,32,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,506.283,156.364,329.872,23.057,1015.577
2,1024,64,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,501.089,155.982,325.919,23.178,1006.170
2,1024,128,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,494.116,156.690,324.142,22.366,997.316
2,2048,16,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,518.795,155.664,338.521,23.944,1036.925
2,2048,32,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,500.153,155.262,328.947,23.634,1007.998
2,2048,64,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,494.451,156.017,325.930,22.971,999.371
2,2048,128,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,488.553,156.495,322.525,22.395,989.970
2,4096,16,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,515.816,156.260,340.356,23.805,1036.239
2,4096,32,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,499.384,156.069,330.209,23.419,1009.083
2,4096,64,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,502.177,157.902,327.192,23.650,1010.924
2,4096,128,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,489.844,156.276,323.519,22.285,991.925
4,512,16,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,676.350,156.462,384.871,23.727,1241.412
4,512,32,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,646.974,157.059,328.107,23.166,1155.308
4,512,64,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,649.496,157.627,328.089,23.122,1158.336
4,512,128,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,651.055,157.352,324.665,23.006,1156.079
4,1024,16,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,642.592,155.551,336.195,24.162,1158.502
4,1024,32,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,652.000,156.515,329.099,23.051,1160.667
4,1024,64,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,650.223,157.525,329.884,23.753,1161.387
4,1024,128,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,629.246,156.298,324.434,22.477,1132.457
4,2048,16,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,660.422,157.208,337.779,23.694,1179.104
4,2048,32,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,647.426,155.683,328.274,23.213,1154.598
4,2048,64,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,648.978,156.289,326.887,23.070,1155.226
4,2048,128,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,634.331,159.169,325.798,22.532,1141.831
4,4096,16,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,654.121,156.911,338.382,24.484,1173.901
4,4096,32,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,648.396,155.489,329.864,23.674,1157.424
4,4096,64,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,634.585,157.806,327.343,22.896,1142.632
4,4096,128,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,631.601,159.277,324.846,22.249,1137.975
