K,HASH_T,SORT_T,IO_T,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,8,64,8,4096,11.446,0.000,0.630,0.000,12.076
26,8,64,8,4096,22.626,0.000,0.505,0.000,23.131
27,8,64,8,4096,51.646,0.000,0.062,0.000,51.708
28,8,64,8,4096,37.432,95.967,0.666,0.000,134.065
29,8,64,8,4096,71.482,203.833,0.751,0.000,276.065
30,8,64,8,4096,142.150,384.718,0.548,0.000,527.416
31,8,64,8,4096,325.219,849.049,0.455,0.000,1174.723
32,8,64,8,4096,590.745,1689.348,0.581,0.000,2280.674
33,8,64,8,4096,1206.322,3370.838,0.434,0.000,4577.594
34,8,64,8,4096,2321.801,6760.778,0.452,0.000,9083.031
35,8,64,8,4096,4613.142,13673.585,0.580,0.000,18287.308
