Hash_threads,Sort_threads,IO_threads,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
2,4,1,4096,1387.601,3595.293,6.754,0.000,4989.647
4,4,1,4096,1271.671,3638.916,7.081,0.000,4917.668
4,4,1,512,1101.715,3233.933,7.792,0.000,4343.440
4,1,1,4096,1289.443,3109.812,7.897,0.000,4407.152
4,2,1,4096,1304.038,3545.676,7.543,0.000,4857.257
4,4,1,4096,1332.032,3751.010,7.071,0.000,5090.113
4,4,1,4096,1348.484,3795.680,7.184,0.000,5151.349
4,4,2,4096,1374.243,4278.543,7.421,0.000,5660.207
4,4,4,4096,1239.078,3833.983,6.637,0.000,5079.698
4,4,1,512,1090.390,2959.983,7.513,0.000,4057.885
4,4,1,1024,1062.162,3654.272,7.412,0.000,4723.846
4,4,1,2048,1183.614,3788.816,7.096,0.000,4979.525
4,4,1,4096,1273.279,3632.226,6.901,0.000,4912.406
