K,Hash_Size,Average_Lookup_Time_ms
25,3,1.25
25,4,0.28
25,5,0.31
25,6,0.29
25,7,0.30
25,8,0.30
25,16,0.31
25,32,0.30
26,3,0.34
26,4,0.36
26,5,0.35
26,6,0.34
26,7,0.32
26,8,0.34
26,16,0.34
26,32,0.34
27,3,0.41
27,4,0.44
27,5,0.43
27,6,0.42
27,7,0.42
27,8,0.41
27,16,0.41
27,32,0.41
28,3,0.48
28,4,0.59
28,5,0.59
28,6,0.60
28,7,0.60
28,8,0.61
28,16,0.60
28,32,0.59
29,3,0.53
29,4,0.66
29,5,0.68
29,6,0.68
29,7,0.68
29,8,0.67
29,16,0.69
29,32,0.68
30,3,4.64
30,4,0.87
30,5,0.89
30,6,0.88
30,7,0.90
30,8,0.87
30,16,0.87
30,32,0.89
31,3,0.74
31,4,1.00
31,5,1.05
31,6,1.07
31,7,1.04
31,8,1.06
31,16,1.04
31,32,1.04
32,3,0.85
32,4,1.20
32,5,1.27
32,6,1.25
32,7,1.25
32,8,1.23
32,16,1.25
32,32,1.25
33,3,1.01
33,4,1.43
33,5,1.49
33,6,1.49
33,7,1.45
33,8,1.45
33,16,1.44
33,32,1.46
34,3,1.13
34,4,1.61
34,5,1.62
34,6,1.63
34,7,1.65
34,8,1.64
34,16,1.65
34,32,1.61
35,3,1.13
35,4,1.75
35,5,1.79
35,6,1.77
35,7,1.76
35,8,1.78
35,16,1.76
35,32,1.77
