K,Hash_Size,Average_Lookup_Time_ms
25,3,3.80
25,4,2.55
25,5,3.20
25,6,2.79
25,7,2.64
25,8,2.72
25,16,2.92
25,32,3.40
26,3,4.34
26,4,4.46
26,5,4.59
26,6,4.35
26,7,4.59
26,8,4.11
26,16,4.07
26,32,3.99
27,3,5.22
27,4,4.58
27,5,4.67
27,6,4.61
27,7,4.64
27,8,5.09
27,16,4.53
27,32,4.81
28,3,5.66
28,4,5.14
28,5,6.04
28,6,5.55
28,7,5.41
28,8,5.71
28,16,5.76
28,32,5.92
29,3,7.22
29,4,8.93
29,5,8.63
29,6,8.04
29,7,8.68
29,8,9.15
29,16,8.55
29,32,7.66
30,3,9.14
30,4,9.07
30,5,9.09
30,6,9.08
30,7,9.21
30,8,9.29
30,16,9.39
30,32,9.72
31,3,9.91
31,4,9.76
31,5,10.14
31,6,9.23
31,7,9.77
31,8,9.48
31,16,10.17
31,32,8.94
32,3,11.15
32,4,11.48
32,5,11.90
32,6,10.62
32,7,11.54
32,8,11.46
32,16,11.72
32,32,10.85
33,3,15.26
33,4,14.32
33,5,12.79
33,6,13.07
33,7,13.26
33,8,13.14
33,16,12.95
33,32,13.85
34,3,19.64
34,4,17.78
34,5,17.52
34,6,16.68
34,7,17.14
34,8,16.36
34,16,16.39
34,32,16.47
35,3,27.31
35,4,25.22
35,5,24.64
35,6,24.91
35,7,24.85
35,8,23.96
35,16,23.68
35,32,24.00
