K,Hash_Size,Average_Lookup_Time_ms
25,3,0.21
25,4,0.23
25,5,0.24
25,6,0.23
25,7,0.22
25,8,0.24
25,16,0.23
25,32,0.22
26,3,0.34
26,4,0.28
26,5,0.27
26,6,0.27
26,7,0.25
26,8,0.28
26,16,0.27
26,32,0.28
27,3,0.31
27,4,0.31
27,5,0.30
27,6,0.31
27,7,0.30
27,8,0.29
27,16,0.35
27,32,0.30
28,3,0.37
28,4,0.36
28,5,0.35
28,6,0.39
28,7,0.34
28,8,0.35
28,16,0.34
28,32,0.36
29,3,0.41
29,4,0.42
29,5,0.42
29,6,0.39
29,7,0.42
29,8,0.42
29,16,0.41
29,32,0.42
30,3,0.43
30,4,0.58
30,5,0.60
30,6,0.60
30,7,0.59
30,8,0.60
30,16,0.61
30,32,0.60
31,3,0.47
31,4,0.63
31,5,0.66
31,6,0.67
31,7,0.67
31,8,0.68
31,16,0.67
31,32,0.67
32,3,0.71
32,4,0.79
32,5,0.89
32,6,0.90
32,7,0.90
32,8,0.87
32,16,0.87
32,32,0.90
33,3,0.75
33,4,1.04
33,5,1.03
33,6,1.05
33,7,1.00
33,8,1.04
33,16,1.03
33,32,1.04
34,3,0.85
34,4,1.20
34,5,1.26
34,6,1.24
34,7,1.24
34,8,1.24
34,16,1.26
34,32,1.25
35,3,4.50
35,4,1.29
35,5,1.33
35,6,1.34
35,7,1.33
35,8,1.32
35,16,1.32
35,32,1.30
