Looking_Up_Qualities(ms),Finding_Proof(ms),Total_Time(ms)
79,15,94
4,11,15
0,11,11
3,9,12
0,9,9
1,7,8
2,7,9
0,7,7
1,7,8
5,11,16
5,11,16
0,10,10
2,7,9
1,6,7
0,6,6
3,8,11
2,7,9
3,8,11
4,9,13
1,6,7
2,7,9
2,7,9
0,7,7
0,7,7
2,7,9
0,7,7
2,6,8
0,7,7
6,10,16
4,9,13
0,9,9
2,8,10
0,8,8
2,7,9
4,10,14
5,10,15
0,11,11
0,12,12
2,7,9
4,9,13
3,8,11
0,6,6
0,8,8
1,5,6
2,7,9
4,9,13
0,9,9
4,8,12
0,8,8
3,8,11
0,8,8
0,8,8
1,6,7
0,5,5
2,7,9
0,7,7
1,6,7
5,10,15
1,6,7
1,7,8
5,9,14
4,9,13
0,9,9
1,5,6
2,8,10
3,8,11
0,8,8
5,10,15
0,10,10
4,9,13
3,7,10
0,8,8
0,8,8
0,8,8
4,8,12
2,7,9
4,8,12
2,7,9
0,4,4
0,5,5
1,5,6
0,6,6
0,5,5
3,8,11
0,9,9
