timestamp,power_reading,program_status
Sun Jan 26 21:16:45 2025,243,
Sun Jan 26 21:16:50 2025,242,
Sun Jan 26 21:16:55 2025,245,
Sun Jan 26 21:17:00 2025,243,
Sun Jan 26 21:17:05 2025,244,
Sun Jan 26 21:17:10 2025,246,
Sun Jan 26 21:17:15 2025,246,
Sun Jan 26 21:17:21 2025,248,
Sun Jan 26 21:17:26 2025,248,
Sun Jan 26 21:17:31 2025,244,
Sun Jan 26 21:17:36 2025,245,
Sun Jan 26 21:17:41 2025,242,
Sun Jan 26 21:17:46 2025,244,
Sun Jan 26 21:17:51 2025,244,
Sun Jan 26 21:17:56 2025,244,
Sun Jan 26 21:18:01 2025,242,
Sun Jan 26 21:18:06 2025,242,
Sun Jan 26 21:18:11 2025,244,
Sun Jan 26 21:18:16 2025,243,
Sun Jan 26 21:18:21 2025,242,
Sun Jan 26 21:18:26 2025,244,
Sun Jan 26 21:18:32 2025,244,
Sun Jan 26 21:18:37 2025,243,
Sun Jan 26 21:18:42 2025,243,
Sun Jan 26 21:18:47 2025,244,
Sun Jan 26 21:18:52 2025,247,
Sun Jan 26 21:18:57 2025,346,
2025-01-26 21:19:06,
Sun Jan 26 21:19:02 2025,356,
Sun Jan 26 21:19:07 2025,359,
Sun Jan 26 21:19:12 2025,360,
Sun Jan 26 21:19:17 2025,362,
Sun Jan 26 21:19:22 2025,363,
Sun Jan 26 21:19:27 2025,364,
Sun Jan 26 21:19:32 2025,364,
Sun Jan 26 21:19:38 2025,366,
Sun Jan 26 21:19:43 2025,366,
Sun Jan 26 21:19:48 2025,368,
Sun Jan 26 21:19:53 2025,370,
Sun Jan 26 21:19:58 2025,371,
Sun Jan 26 21:20:03 2025,371,
Sun Jan 26 21:20:08 2025,375,
Sun Jan 26 21:20:13 2025,375,
Sun Jan 26 21:20:18 2025,376,
Sun Jan 26 21:20:23 2025,377,
Sun Jan 26 21:20:28 2025,376,
Sun Jan 26 21:20:33 2025,374,
Sun Jan 26 21:20:39 2025,379,
Sun Jan 26 21:20:44 2025,420,
Sun Jan 26 21:20:49 2025,370,
Sun Jan 26 21:20:55 2025,408,
Sun Jan 26 21:21:00 2025,414,
Sun Jan 26 21:21:05 2025,383,
Sun Jan 26 21:21:11 2025,423,
Sun Jan 26 21:21:16 2025,369,
Sun Jan 26 21:21:21 2025,405,
Sun Jan 26 21:21:26 2025,391,
Sun Jan 26 21:21:31 2025,378,
Sun Jan 26 21:21:36 2025,377,
Sun Jan 26 21:21:42 2025,377,
Sun Jan 26 21:21:47 2025,376,
Sun Jan 26 21:21:52 2025,375,
Sun Jan 26 21:21:57 2025,380,
Sun Jan 26 21:22:02 2025,372,
Sun Jan 26 21:22:07 2025,373,
Sun Jan 26 21:22:12 2025,375,
Sun Jan 26 21:22:17 2025,374,
Sun Jan 26 21:22:22 2025,374,
Sun Jan 26 21:22:27 2025,375,
Sun Jan 26 21:22:32 2025,375,
Sun Jan 26 21:22:37 2025,375,
Sun Jan 26 21:22:43 2025,374,
Sun Jan 26 21:22:48 2025,376,
Sun Jan 26 21:22:53 2025,375,
Sun Jan 26 21:22:58 2025,371,
Sun Jan 26 21:23:03 2025,368,
Sun Jan 26 21:23:08 2025,381,
Sun Jan 26 21:23:14 2025,384,
Sun Jan 26 21:23:19 2025,367,
Sun Jan 26 21:23:24 2025,419,
Sun Jan 26 21:23:29 2025,385,
Sun Jan 26 21:23:35 2025,429,
Sun Jan 26 21:23:40 2025,368,
Sun Jan 26 21:23:45 2025,383,
Sun Jan 26 21:23:51 2025,414,
Sun Jan 26 21:23:56 2025,381,
Sun Jan 26 21:24:01 2025,453,
Sun Jan 26 21:24:07 2025,529,
Sun Jan 26 21:24:12 2025,532,
Sun Jan 26 21:24:18 2025,540,
Sun Jan 26 21:24:23 2025,535,
Sun Jan 26 21:24:29 2025,455,
Sun Jan 26 21:24:34 2025,373,
Sun Jan 26 21:24:39 2025,439,
Sun Jan 26 21:24:45 2025,465,
Sun Jan 26 21:24:50 2025,571,
Sun Jan 26 21:24:56 2025,536,
Sun Jan 26 21:25:01 2025,540,
Sun Jan 26 21:25:07 2025,545,
Sun Jan 26 21:25:12 2025,384,
Sun Jan 26 21:25:17 2025,389,
Sun Jan 26 21:25:22 2025,433,
Sun Jan 26 21:25:28 2025,502,
Sun Jan 26 21:25:33 2025,587,
Sun Jan 26 21:25:39 2025,543,
Sun Jan 26 21:25:44 2025,544,
Sun Jan 26 21:25:50 2025,551,
Sun Jan 26 21:25:55 2025,389,
Sun Jan 26 21:26:00 2025,393,
Sun Jan 26 21:26:05 2025,440,
Sun Jan 26 21:26:11 2025,560,
Sun Jan 26 21:26:16 2025,545,
Sun Jan 26 21:26:22 2025,543,
Sun Jan 26 21:26:28 2025,547,
Sun Jan 26 21:26:33 2025,505,
Sun Jan 26 21:26:38 2025,398,
Sun Jan 26 21:26:43 2025,429,
Sun Jan 26 21:26:49 2025,419,
Sun Jan 26 21:26:54 2025,391,
2025-01-26 21:27:05,
Sun Jan 26 21:26:59 2025,259,
Sun Jan 26 21:27:04 2025,253,
Sun Jan 26 21:27:09 2025,251,
Sun Jan 26 21:27:14 2025,252,
Sun Jan 26 21:27:19 2025,251,
Sun Jan 26 21:27:24 2025,247,
Sun Jan 26 21:27:29 2025,244,
Sun Jan 26 21:27:34 2025,246,
Sun Jan 26 21:27:39 2025,248,
Sun Jan 26 21:27:45 2025,243,
