Threads,Buffer,Buckets,Stripe,Temp_Dir,Plot_Dir,Phase_1_Time,Phase_2_Time,Phase_3_Time,Phase_4_Time,Total_Time
1,512,16,2048,/data-fast/varvara/tmp,/data-fast/varvara/plot,959.770,242.972,460.072,32.549,1695.366
1,512,16,4096,/data-fast/varvara/tmp,/data-fast/varvara/plot,864.393,248.578,459.427,31.514,1603.914
1,512,16,8192,/data-fast/varvara/tmp,/data-fast/varvara/plot,873.345,247.995,459.212,32.400,1612.954
1,512,16,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,855.087,243.433,458.255,32.996,1589.772
1,512,16,32768,/data-fast/varvara/tmp,/data-fast/varvara/plot,811.852,247.387,462.777,31.233,1553.250
1,512,16,65536,/data-fast/varvara/tmp,/data-fast/varvara/plot,834.459,247.083,458.562,32.719,1572.824
1,512,16,131072,/data-fast/varvara/tmp,/data-fast/varvara/plot,801.278,248.876,458.295,31.770,1540.221
1,512,16,262144,/data-fast/varvara/tmp,/data-fast/varvara/plot,806.621,247.601,460.692,31.469,1546.384
1,512,32,2048,/data-fast/varvara/tmp,/data-fast/varvara/plot,969.085,242.412,421.020,31.002,1663.522
1,512,32,4096,/data-fast/varvara/tmp,/data-fast/varvara/plot,900.438,244.304,419.749,31.815,1596.309
1,512,32,8192,/data-fast/varvara/tmp,/data-fast/varvara/plot,867.733,247.459,418.585,31.649,1565.428
1,512,32,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,858.185,244.785,418.753,31.896,1553.621
1,512,32,32768,/data-fast/varvara/tmp,/data-fast/varvara/plot,853.681,243.926,420.549,32.071,1550.229
1,512,32,65536,/data-fast/varvara/tmp,/data-fast/varvara/plot,835.826,239.649,420.979,32.112,1528.568
1,512,32,131072,/data-fast/varvara/tmp,/data-fast/varvara/plot,832.557,239.292,420.306,31.816,1523.973
1,512,32,262144,/data-fast/varvara/tmp,/data-fast/varvara/plot,838.285,246.595,421.259,31.204,1537.344
1,512,64,2048,/data-fast/varvara/tmp,/data-fast/varvara/plot,964.993,245.604,418.424,30.643,1659.666
1,512,64,4096,/data-fast/varvara/tmp,/data-fast/varvara/plot,912.148,243.523,419.279,30.709,1605.662
1,512,64,8192,/data-fast/varvara/tmp,/data-fast/varvara/plot,881.038,246.816,419.344,30.727,1577.928
1,512,64,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,853.351,238.573,415.627,30.927,1538.481
1,512,64,32768,/data-fast/varvara/tmp,/data-fast/varvara/plot,846.614,245.545,416.765,31.117,1540.042
1,512,64,65536,/data-fast/varvara/tmp,/data-fast/varvara/plot,849.791,244.276,417.549,30.697,1542.315
1,512,64,131072,/data-fast/varvara/tmp,/data-fast/varvara/plot,827.604,242.048,414.757,30.954,1515.365
1,512,64,262144,/data-fast/varvara/tmp,/data-fast/varvara/plot,839.334,243.443,416.919,30.926,1530.624
1,512,128,2048,/data-fast/varvara/tmp,/data-fast/varvara/plot,961.509,243.246,414.040,29.595,1648.392
1,512,128,4096,/data-fast/varvara/tmp,/data-fast/varvara/plot,900.255,239.205,413.950,29.757,1583.168
1,512,128,8192,/data-fast/varvara/tmp,/data-fast/varvara/plot,875.223,237.609,410.866,29.237,1552.937
1,512,128,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,851.320,241.847,411.554,29.856,1534.580
1,512,128,32768,/data-fast/varvara/tmp,/data-fast/varvara/plot,850.213,242.412,412.161,29.375,1534.162
1,512,128,65536,/data-fast/varvara/tmp,/data-fast/varvara/plot,838.653,242.170,410.956,29.672,1521.452
1,512,128,131072,/data-fast/varvara/tmp,/data-fast/varvara/plot,843.540,242.483,413.024,29.860,1528.910
1,512,128,262144,/data-fast/varvara/tmp,/data-fast/varvara/plot,848.930,243.763,413.514,30.025,1536.233
1,1024,16,2048,/data-fast/varvara/tmp,/data-fast/varvara/plot,959.372,242.794,429.361,32.485,1664.014
1,1024,16,4096,/data-fast/varvara/tmp,/data-fast/varvara/plot,911.850,247.704,430.240,32.188,1621.984
1,1024,16,8192,/data-fast/varvara/tmp,/data-fast/varvara/plot,879.600,246.389,428.026,32.586,1586.604
1,1024,16,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,874.247,246.091,427.628,32.177,1580.145
1,1024,16,32768,/data-fast/varvara/tmp,/data-fast/varvara/plot,871.852,247.011,427.285,31.456,1577.606
1,1024,16,65536,/data-fast/varvara/tmp,/data-fast/varvara/plot,860.751,247.251,426.679,32.972,1567.655
1,1024,16,131072,/data-fast/varvara/tmp,/data-fast/varvara/plot,852.536,247.177,428.665,32.758,1561.137
1,1024,16,262144,/data-fast/varvara/tmp,/data-fast/varvara/plot,843.750,248.376,426.768,32.205,1551.100
1,1024,32,2048,/data-fast/varvara/tmp,/data-fast/varvara/plot,963.049,242.772,422.739,30.965,1659.527
1,1024,32,4096,/data-fast/varvara/tmp,/data-fast/varvara/plot,921.422,243.594,421.729,30.734,1617.481
1,1024,32,8192,/data-fast/varvara/tmp,/data-fast/varvara/plot,877.450,247.054,419.604,31.888,1575.999
1,1024,32,16384,/data-fast/varvara/tmp,/data-fast/varvara/plot,860.718,243.410,419.782,31.898,1555.809
1,1024,32,32768,/data-fast/varvara/tmp,/data-fast/varvara/plot,859.703,243.727,420.365,30.712,1554.508
1,1024,32,65536,/data-fast/varvara/tmp,/data-fast/varvara/plot,846.287,242.708,420.571,30.880,1540.447
1,1024,32,131072,/data-fast/varvara/tmp,/data-fast/varvara/plot,849.257,247.266,423.086,32.227,1551.837
1,1024,32,262144,/data-fast/varvara/tmp,/data-fast/varvara/plot,846.672,242.511,419.068,30.993,1539.246
1,1024,64,2048,/data-fast/varvara/tmp,/data-fast/varvara/plot,965.580,241.812,418.613,31.038,1657.044
1,1024,64,4096,/data-fast/varvara/tmp,/data-fast/varvara/plot,895.514,243.483,417.584,30.863,1587.446
1,1024,64,8192,/data-fast/varvara/tmp,/data-fast/varvara/plot,871.791,242.508,417.462,30.996,1562.758
