Hash_threads,Sort_threads,IO_threads,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
2,8,1,16384,1134.274,2250.637,28.077,0.000,3412.987
4,8,1,16384,936.753,2165.387,26.709,0.000,3128.849
8,8,1,16384,896.168,2167.325,27.555,0.000,3091.048
8,1,1,16384,898.654,3463.095,6.871,0.000,4368.620
8,2,1,16384,897.739,2720.313,6.729,0.000,3624.781
8,4,1,16384,897.157,2262.010,13.167,0.000,3172.334
8,8,1,16384,898.479,2164.776,26.327,0.000,3089.583
8,8,1,16384,897.652,2162.769,27.194,0.000,3087.615
8,8,2,16384,897.583,2768.932,26.623,0.000,3693.138
8,8,4,16384,898.039,2653.459,27.451,0.000,3578.949
8,8,8,16384,896.230,2538.831,26.754,0.000,3461.815
8,8,1,512,883.957,2095.845,13.688,0.000,2993.490
8,8,1,1024,869.710,2312.393,14.646,0.000,3196.750
8,8,1,2048,866.558,2258.055,13.726,0.000,3138.339
8,8,1,4096,800.797,2191.526,26.414,0.000,3018.737
8,8,1,8192,829.096,2241.879,27.042,0.000,3098.017
8,8,1,16384,868.732,2099.978,25.658,0.000,2994.369
