K,Hash_Size,Average_Lookup_Time_ms
25,3,5.18
25,4,4.85
25,5,4.65
25,6,5.05
25,7,4.46
25,8,4.87
25,16,4.96
25,32,4.52
26,3,5.35
26,4,5.19
26,5,5.15
26,6,5.39
26,7,5.16
26,8,5.24
26,16,4.77
26,32,5.03
27,3,8.28
27,4,7.82
27,5,7.44
27,6,8.64
27,7,7.48
27,8,7.50
27,16,7.09
27,32,8.02
28,3,9.06
28,4,9.17
28,5,9.42
28,6,9.38
28,7,9.63
28,8,8.75
28,16,9.31
28,32,9.47
29,3,9.95
29,4,9.97
29,5,9.34
29,6,11.43
29,7,9.40
29,8,10.34
29,16,10.84
29,32,9.95
30,3,16.52
30,4,15.28
30,5,16.52
30,6,15.99
30,7,15.68
30,8,16.75
30,16,15.49
30,32,16.36
31,3,12.99
31,4,11.99
31,5,13.82
31,6,13.06
31,7,13.27
31,8,13.28
31,16,12.63
31,32,13.36
32,3,16.34
32,4,16.19
32,5,17.17
32,6,16.25
32,7,15.71
32,8,16.52
32,16,16.15
32,32,17.38
33,3,26.70
33,4,25.58
33,5,22.51
33,6,23.13
33,7,24.34
33,8,23.69
33,16,22.36
33,32,22.61
34,3,38.33
34,4,41.21
34,5,35.48
34,6,35.93
34,7,35.70
34,8,34.31
34,16,34.11
34,32,34.59
35,3,45.51
35,4,45.84
35,5,41.61
35,6,39.85
35,7,40.75
35,8,41.22
35,16,42.67
35,32,40.40
